"","","","","","","","","bonf_res"
"224",0,0,0,1,0,0,0,1
"225",0,1,0,0,0,0,0,1
"226",0.256,0,1,0,0,0,0,0
"227",0,0,1,0,0,0,0,1
"228",0.004,0,0,1,0,0,0,1
"229",0,0,1,0,0,0,0,1
"230",0,1,0,0,0,0,0,1
"231",0,1,0,0,0,0,0,1
"232",0.00800000000000001,0,0,0,0,0,1,1
"233",0,0,1,0,0,0,0,1
"234",0.00800000000000001,0,1,0,0,0,0,1
"235",0.004,1,0,0,0,0,0,1
"236",0,0,0,0,0,1,0,1
"237",0,1,0,0,0,0,0,1
"238",0.004,1,0,0,0,0,0,1
"239",0,1,0,0,0,0,0,1
"240",0,0,1,0,0,0,0,1
"241",0.032,0,1,0,0,0,0,1
"242",0,0,0,0,1,0,0,1
"243",0.02,0,0,0,0,1,0,1
"244",0,1,0,0,0,0,0,1
"245",0.004,0,0,1,0,0,0,1
"246",0.052,0,0,0,0,0,1,0
"247",0.012,0,0,0,0,0,1,1
"248",0,0,1,0,0,0,0,1
"249",0,0,1,0,0,0,0,1
"250",0,0,0,1,0,0,0,1
"251",0.00800000000000001,0,1,0,0,0,0,1
"252",0,0,0,0,0,0,1,1
"253",0.004,1,0,0,0,0,0,1
"254",0.04,0,0,1,0,0,0,1
"255",0.00800000000000001,0,0,0,0,0,1,1
"256",0.0639999999999999,0,0,0,0,1,0,1
"257",0,0,1,0,0,0,0,1
"258",0.02,0,1,0,0,0,0,1
"259",0,1,0,0,0,0,0,1
"260",0.024,1,0,0,0,0,0,1
"261",0.048,0,0,1,0,0,0,1
"262",0,1,0,0,0,0,0,1
"263",0,0,0,0,0,0,1,1
"264",0.192,0,0,1,0,0,0,1
"265",0,1,0,0,0,0,0,1
"266",0,0,0,0,0,0,1,1
"267",0.028,0,0,0,1,0,0,1
"268",0,0,0,0,0,0,1,1
"269",0,0,0,1,0,0,0,1
"270",0,0,0,0,0,1,0,1
"271",0,0,0,0,0,0,1,1
"272",0.032,0,0,0,0,0,1,1
"273",0,0,0,0,0,1,0,1
"274",0,0,0,0,1,0,0,1
"275",0,0,0,1,0,0,0,1
"276",0.264,0,1,0,0,0,0,0
"277",0.004,0,1,0,0,0,0,1
"278",0,1,0,0,0,0,0,1
"279",0,0,0,0,0,1,0,1
"280",0,0,1,0,0,0,0,1
"281",0.004,0,1,0,0,0,0,1
"282",0,0,0,1,0,0,0,1
"283",0,0,0,0,0,0,1,1
"284",0.0679999999999999,0,1,0,0,0,0,0
"285",0,1,0,0,0,0,0,1
"286",0,1,0,0,0,0,0,1
"287",0.028,0,1,0,0,0,0,0
"288",0.004,0,0,1,0,0,0,1
"289",0,0,0,0,1,0,0,1
"290",0.00800000000000001,0,1,0,0,0,0,1
"291",0.00800000000000001,0,0,0,0,0,1,1
"292",0,1,0,0,0,0,0,1
