"","","","","","","","bonf_res"
"236",0.048,0,0,1,0,0,1
"237",0.396,0,0,0,1,0,0
"238",0.914,0,1,0,0,0,0
"239",0.268,0,0,0,0,1,0
"240",0.682,0,1,0,0,0,0
"241",0.586,0,0,1,0,0,0
"242",0.096,0,0,0,0,1,0
"243",0.708,0,0,0,0,1,0
"244",0.216,0,0,0,0,1,0
"245",0.454,0,0,1,0,0,0
"246",0.616,0,0,0,0,1,0
"247",0.38,0,0,0,0,1,0
"248",0.628,0,0,1,0,0,0
"249",0.706,0,0,1,0,0,0
"250",0.028,0,0,0,0,1,1
"251",0.786,0,1,0,0,0,0
"252",0.246,0,1,0,0,0,0
"253",0.034,0,1,0,0,0,0
"254",0.402,0,0,0,0,1,0
"255",0.312,0,0,0,0,1,0
"256",0.704,0,0,1,0,0,0
"257",0.826,0,0,0,0,1,0
"258",0.802,0,0,0,0,1,0
"259",0.292,0,1,0,0,0,0
"260",0.208,0,0,0,0,1,0
"261",0.022,0,0,0,0,1,0
"262",0.844,0,0,0,0,1,0
"263",0.83,0,1,0,0,0,0
"264",0.288,0,0,0,1,0,0
"265",0.106,0,0,0,0,1,0
"266",0.326,0,0,1,0,0,0
"267",0.338,0,0,0,1,0,0
"268",0.552,0,0,0,0,1,0
"269",0.182,0,1,0,0,0,0
"270",0.16,0,0,0,0,1,0
"271",0.042,0,0,0,0,1,0
"272",0.014,0,0,0,0,1,1
"273",0.23,0,0,0,1,0,0
"274",0.018,0,0,0,0,1,1
"275",0.592,0,1,0,0,0,0
"276",0.192,0,1,0,0,0,0
"277",0.5,0,0,0,0,1,0
"278",0.158,0,0,1,0,0,0
"279",0.232,0,0,1,0,0,0
"280",0.056,0,0,0,0,1,0
"281",0.972,0,0,0,0,1,0
"282",0.21,0,0,0,0,1,0
"283",0.37,0,0,0,0,1,0
"284",0.422,0,0,0,0,1,0
"285",0.742,0,1,0,0,0,0
"286",0.452,0,0,0,0,1,0
"287",0.75,0,1,0,0,0,0
"288",0.96,0,1,0,0,0,0
"289",0.332,0,0,0,1,0,0
"290",0.59,0,1,0,0,0,0
"291",0.03,0,0,0,0,1,0
"292",0.176,0,0,0,0,1,0
"293",0.328,0,0,1,0,0,0
"294",0.826,0,0,0,0,1,0
"295",0.824,0,0,0,1,0,0
"296",0.29,0,0,0,0,1,0
"297",0.858,0,1,0,0,0,0
"298",0.256,0,0,0,0,1,0
"299",0.552,0,0,0,0,1,0
"300",0.484,0,0,1,0,0,0
"301",0.638,0,0,0,0,1,0
"302",0.764,0,1,0,0,0,0
"303",0.13,0,0,0,0,1,0
"304",0.422,0,0,0,0,1,0
"305",0.216,0,0,0,1,0,0
"306",0.99,0,0,1,0,0,0
"307",0.0679999999999999,0,0,1,0,0,0
"308",0.276,0,0,0,1,0,0
"309",0.754,0,1,0,0,0,0
"310",0.906,0,1,0,0,0,0
"311",0.678,0,0,1,0,0,0
"312",0.3,0,1,0,0,0,0
"313",0.494,0,0,0,1,0,0
"314",0.018,0,0,0,0,1,1
"315",0.352,0,0,0,0,1,0
"316",0.048,0,1,0,0,0,0
"317",0.7,0,1,0,0,0,0
"318",0.748,0,1,0,0,0,0
"319",0.45,0,0,0,0,1,0
"320",0.372,0,1,0,0,0,0
"321",0.502,0,0,1,0,0,0
"322",0.294,0,0,0,1,0,0
"323",0.154,0,0,1,0,0,0
"324",0.91,0,0,0,0,1,0
"325",0.834,0,0,1,0,0,0
"326",0.0580000000000001,0,0,0,0,1,0
"327",0.57,0,0,0,0,1,0
"328",0.992,0,1,0,0,0,0
"329",0.382,0,1,0,0,0,0
"330",0.308,0,0,0,1,0,0
"331",0.6,0,0,0,0,1,0
"332",0.644,0,0,0,0,1,0
"333",0.414,0,0,1,0,0,0
"334",0.492,0,1,0,0,0,0
"335",0.488,0,1,0,0,0,0
"336",0.452,0,0,0,0,1,0
"337",0.13,0,1,0,0,0,0
"338",0.898,0,0,0,0,1,0
"339",0.49,0,0,1,0,0,0
"340",0.368,0,0,0,1,0,0
"341",0.442,0,0,1,0,0,0
"342",0.63,0,1,0,0,0,0
"343",0.238,0,0,1,0,0,0
"344",0.748,0,0,1,0,0,0
"345",0.892,0,1,0,0,0,0
"346",0.0639999999999999,0,0,0,0,1,0
"347",0.982,0,0,0,0,1,0
"348",0.4,0,0,0,0,1,0
"349",0.874,0,0,0,0,1,0
"350",0.812,0,0,1,0,0,0
"351",0.19,0,0,0,0,1,0
"352",0.304,0,1,0,0,0,0
"353",0.756,0,1,0,0,0,0
"354",0.546,0,1,0,0,0,0
"355",0.372,0,1,0,0,0,0
"356",0.92,0,0,1,0,0,0
"357",0.942,0,0,1,0,0,0
"358",0.942,0,1,0,0,0,0
"359",0.024,0,0,1,0,0,0
"360",0.304,0,0,0,0,1,0
"361",0.758,0,1,0,0,0,0
"362",0.814,0,0,0,0,1,0
"363",0.536,0,1,0,0,0,0
"364",0.396,0,1,0,0,0,0
"365",0.17,0,0,0,0,1,0
"366",0.348,0,0,1,0,0,0
"367",0.906,0,0,1,0,0,0
"368",0.876,0,1,0,0,0,0
"369",0.56,0,0,1,0,0,0
"370",0.76,0,0,0,0,1,0
"371",0.028,0,1,0,0,0,1
"372",0.204,0,0,0,0,1,0
"373",0.976,0,0,1,0,0,0
"374",0.474,0,0,0,0,1,0
"375",0.822,0,0,0,0,1,0
"376",0.088,0,0,0,1,0,0
"377",0.142,0,0,1,0,0,0
"378",0.292,0,0,0,0,1,0
"379",0.28,0,0,0,0,1,0
"380",0.054,0,1,0,0,0,0
"381",0.136,0,1,0,0,0,0
"382",0.67,0,1,0,0,0,0
"383",0.726,0,0,0,1,0,0
"384",0.586,0,0,1,0,0,0
"385",0.38,0,0,0,0,1,0
"386",0.72,0,0,1,0,0,0
"387",0.762,0,1,0,0,0,0
"388",0.696,0,1,0,0,0,0
"389",0.012,0,0,0,0,1,0
"390",0.64,0,0,1,0,0,0
"391",0.948,0,1,0,0,0,0
"392",0.898,0,0,0,1,0,0
"393",0.298,0,0,0,0,1,0
"394",0.852,0,1,0,0,0,0
"395",0.298,0,0,1,0,0,0
"396",0.756,0,0,0,0,1,0
"397",0.192,0,1,0,0,0,0
"398",0.606,0,1,0,0,0,0
"399",0.716,0,0,0,0,1,0
"400",0.118,0,0,0,0,1,0
