"","","","","","","","","bonf_res"
"230",0.22,1,0,0,0,0,0,0
"231",0.22,0,0,0,1,0,0,0
"232",0.408,1,0,0,0,0,0,0
"233",0.58,0,1,0,0,0,0,0
"234",0.888,0,0,0,1,0,0,0
"235",0.736,1,0,0,0,0,0,0
"236",0.84,0,1,0,0,0,0,0
"237",0.552,0,0,0,0,1,0,0
"238",0.876,0,1,0,0,0,0,0
"239",0.352,0,1,0,0,0,0,0
"240",0.996,1,0,0,0,0,0,0
"241",0.168,0,0,1,0,0,0,0
"242",0.48,0,1,0,0,0,0,0
"243",0.52,0,1,0,0,0,0,0
"244",0.924,0,0,1,0,0,0,0
"245",0,0,0,0,0,1,0,1
"246",0.4,0,1,0,0,0,0,0
"247",0.612,0,0,1,0,0,0,0
"248",0.004,0,0,0,0,0,1,0
"249",0.892,0,1,0,0,0,0,0
"250",0.208,1,0,0,0,0,0,0
"251",0.964,0,0,0,1,0,0,0
"252",0.12,0,1,0,0,0,0,0
"253",0.336,0,1,0,0,0,0,0
"254",0.528,0,0,0,1,0,0,0
"255",0.752,1,0,0,0,0,0,0
"256",0.896,0,1,0,0,0,0,0
"257",0.272,0,1,0,0,0,0,0
"258",0.54,0,0,0,0,1,0,0
"259",0.604,0,0,0,1,0,0,0
"260",0.00800000000000001,0,0,0,0,1,0,1
"261",0.224,1,0,0,0,0,0,0
"262",0.124,0,1,0,0,0,0,0
"263",0.94,1,0,0,0,0,0,0
"264",0.056,0,1,0,0,0,0,0
"265",0.096,0,1,0,0,0,0,0
"266",0.692,0,1,0,0,0,0,0
"267",0,0,1,0,0,0,0,1
"268",0.268,1,0,0,0,0,0,0
"269",0.34,0,1,0,0,0,0,0
"270",0.596,0,1,0,0,0,0,0
"271",0.588,0,1,0,0,0,0,0
"272",0.236,1,0,0,0,0,0,0
"273",0.456,0,1,0,0,0,0,0
"274",0.444,1,0,0,0,0,0,0
"275",0.828,1,0,0,0,0,0,0
"276",0.104,0,1,0,0,0,0,0
"277",0.352,0,1,0,0,0,0,0
"278",0.824,0,0,0,1,0,0,0
"279",0.072,1,0,0,0,0,0,1
"280",0.612,0,0,1,0,0,0,0
"281",0.42,0,1,0,0,0,0,0
"282",0.904,0,1,0,0,0,0,0
"283",0.676,0,0,1,0,0,0,0
