"","","","","","","","","bonf_res"
"236",0.212,0,1,0,0,0,0,0
"237",0.092,1,0,0,0,0,0,1
"238",0.232,0,1,0,0,0,0,0
"239",0.056,0,1,0,0,0,0,0
"240",0.564,0,1,0,0,0,0,0
"241",0.388,0,1,0,0,0,0,0
"242",0.98,1,0,0,0,0,0,0
"243",0.832,0,1,0,0,0,0,0
"244",0.048,1,0,0,0,0,0,0
"245",0.128,0,1,0,0,0,0,0
"246",0.116,0,1,0,0,0,0,0
"247",0.00800000000000001,0,1,0,0,0,0,1
"248",0.02,0,1,0,0,0,0,0
"249",0.568,1,0,0,0,0,0,0
"250",0.324,0,1,0,0,0,0,0
"251",0,0,1,0,0,0,0,1
"252",0.704,0,1,0,0,0,0,0
"253",0.272,0,1,0,0,0,0,0
"254",0.032,0,1,0,0,0,0,0
"255",0.94,0,1,0,0,0,0,0
"256",0.34,0,1,0,0,0,0,0
"257",0.9,1,0,0,0,0,0,0
"258",0.052,1,0,0,0,0,0,1
"259",0.084,0,1,0,0,0,0,1
"260",0.084,1,0,0,0,0,0,0
"261",0.072,0,1,0,0,0,0,1
"262",0.428,0,1,0,0,0,0,0
"263",0.088,0,1,0,0,0,0,0
"264",0.016,0,1,0,0,0,0,1
"265",0.344,0,1,0,0,0,0,0
"266",0.152,1,0,0,0,0,0,0
"267",0.316,0,1,0,0,0,0,0
"268",0.072,0,1,0,0,0,0,0
"269",0.316,0,1,0,0,0,0,0
"270",0.048,1,0,0,0,0,0,1
"271",0.552,1,0,0,0,0,0,0
"272",0.212,0,1,0,0,0,0,0
"273",0.5,0,1,0,0,0,0,0
"274",0.236,1,0,0,0,0,0,0
"275",0.156,0,0,1,0,0,0,0
"276",0.86,0,1,0,0,0,0,0
"277",0.164,1,0,0,0,0,0,0
"278",0.028,1,0,0,0,0,0,0
"279",0.388,0,0,1,0,0,0,0
"280",0.488,0,1,0,0,0,0,0
"281",0.312,0,1,0,0,0,0,0
"282",0.172,0,1,0,0,0,0,0
"283",0.436,1,0,0,0,0,0,0
"284",0.236,0,1,0,0,0,0,0
"285",0.516,0,1,0,0,0,0,0
"286",0.036,0,1,0,0,0,0,1
"287",0.232,1,0,0,0,0,0,0
"288",0.928,0,1,0,0,0,0,0
"289",0.072,0,1,0,0,0,0,0
"290",0.2,1,0,0,0,0,0,0
"291",0.116,0,1,0,0,0,0,0
"292",0.056,0,1,0,0,0,0,0
"293",0.304,0,1,0,0,0,0,0
"294",0.128,0,1,0,0,0,0,0
"295",0.58,0,1,0,0,0,0,0
"296",0.608,0,1,0,0,0,0,0
"297",0.0600000000000001,1,0,0,0,0,0,0
"298",0.82,0,1,0,0,0,0,0
"299",0.688,1,0,0,0,0,0,0
