"","","","","","","","","bonf_res"
"311",0.304,0,1,0,0,0,0,0
"312",0.372,0,1,0,0,0,0,0
"313",0.932,1,0,0,0,0,0,0
"314",0.724,0,1,0,0,0,0,0
"315",0.452,1,0,0,0,0,0,0
"316",0.7,1,0,0,0,0,0,0
"317",0.232,0,1,0,0,0,0,0
"318",0.988,0,1,0,0,0,0,0
"319",0.8,0,1,0,0,0,0,0
"320",0.148,1,0,0,0,0,0,0
"321",0.62,0,1,0,0,0,0,0
"322",0.624,1,0,0,0,0,0,0
"323",0.792,0,1,0,0,0,0,0
"324",0.18,1,0,0,0,0,0,0
"325",0.116,0,1,0,0,0,0,0
"326",0.376,0,1,0,0,0,0,0
"327",0.572,1,0,0,0,0,0,0
"328",0.216,0,1,0,0,0,0,0
"329",0.484,0,1,0,0,0,0,0
"330",0.456,0,1,0,0,0,0,0
"331",0.892,0,1,0,0,0,0,0
"332",0.94,0,1,0,0,0,0,0
"333",0.052,0,1,0,0,0,0,0
"334",0.944,0,1,0,0,0,0,0
"335",0.012,1,0,0,0,0,0,0
"336",0.588,1,0,0,0,0,0,0
"337",0.796,0,1,0,0,0,0,0
"338",0.08,0,1,0,0,0,0,0
"339",0.528,1,0,0,0,0,0,0
"340",0.036,0,1,0,0,0,0,0
"341",0.464,0,1,0,0,0,0,0
"342",0.076,1,0,0,0,0,0,0
"343",0.284,1,0,0,0,0,0,0
"344",0.992,1,0,0,0,0,0,0
"345",0.904,0,1,0,0,0,0,0
"346",0.608,0,1,0,0,0,0,0
"347",0.08,0,1,0,0,0,0,0
"348",0.648,0,1,0,0,0,0,0
"349",0.988,0,1,0,0,0,0,0
"350",0.344,0,1,0,0,0,0,0
"351",0.412,1,0,0,0,0,0,0
"352",0.648,0,1,0,0,0,0,0
"353",0.988,1,0,0,0,0,0,0
"354",0.644,0,1,0,0,0,0,0
"355",0.584,0,1,0,0,0,0,0
"356",0.456,0,1,0,0,0,0,0
"357",0.272,0,1,0,0,0,0,0
"358",0.828,0,1,0,0,0,0,0
"359",0.884,0,1,0,0,0,0,0
"360",0.3,1,0,0,0,0,0,0
"361",0.368,1,0,0,0,0,0,0
"362",0.624,0,1,0,0,0,0,0
"363",0.916,1,0,0,0,0,0,0
"364",0.98,0,1,0,0,0,0,0
"365",0.832,0,1,0,0,0,0,0
"366",0.056,0,1,0,0,0,0,0
"367",0.648,1,0,0,0,0,0,0
"368",0.004,1,0,0,0,0,0,0
"369",0.156,0,1,0,0,0,0,0
"370",0.72,0,1,0,0,0,0,0
"371",0.524,0,1,0,0,0,0,0
"372",0.668,0,1,0,0,0,0,0
"373",0.88,1,0,0,0,0,0,0
"374",0.172,1,0,0,0,0,0,0
"375",0.772,0,1,0,0,0,0,0
"376",0.504,0,1,0,0,0,0,0
"377",0.236,1,0,0,0,0,0,0
"378",0.656,0,1,0,0,0,0,0
"379",0.692,1,0,0,0,0,0,0
"380",0.968,0,1,0,0,0,0,0
"381",0.132,0,1,0,0,0,0,0
"382",0.136,0,1,0,0,0,0,0
"383",0.564,0,1,0,0,0,0,0
"384",0.416,1,0,0,0,0,0,0
"385",0.112,1,0,0,0,0,0,0
"386",0.776,1,0,0,0,0,0,0
